                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.76279,                0.48733,                0.97116,                0.91905,                0.79663,                0.86424,                0.62942,                 1.0486,                0.57342,                 1.2035,               0.006436,               0.006436,               0.006436
                     74,                0.75979,                 0.4858,                0.97226,                0.90172,                0.80791,                0.86321,                0.62739,                 1.0535,                0.57668,                 1.2048,              0.0063865,              0.0063865,              0.0063865
                     75,                0.75481,                 0.4849,                0.97098,                 0.9175,                0.79263,                0.86205,                0.62871,                 1.0531,                0.57527,                 1.2062,               0.006337,               0.006337,               0.006337
                     76,                0.75225,                0.48134,                0.96844,                0.92273,                 0.7921,                0.86524,                0.63013,                 1.0456,                0.56906,                 1.2047,              0.0062875,              0.0062875,              0.0062875
                     77,                0.74912,                0.48044,                0.96672,                0.92319,                0.78892,                0.86567,                0.63276,                 1.0479,                0.56708,                 1.2059,               0.006238,               0.006238,               0.006238
                     78,                0.74978,                 0.4818,                0.96812,                0.92545,                0.78182,                0.86448,                0.63335,                 1.0416,                0.56837,                 1.2009,              0.0061885,              0.0061885,              0.0061885
                     79,                0.74784,                0.48058,                0.97031,                0.89775,                0.80161,                0.86543,                 0.6279,                 1.0455,                0.57113,                 1.2051,               0.006139,               0.006139,               0.006139
                     80,                 0.7486,                0.47817,                0.96648,                0.91777,                0.79553,                0.86465,                0.63001,                 1.0481,                0.56954,                 1.2065,              0.0060895,              0.0060895,              0.0060895
                     81,                0.74204,                0.47228,                0.96657,                0.91977,                0.79433,                0.85981,                0.62863,                 1.0479,                0.56719,                 1.2068,                0.00604,                0.00604,                0.00604
                     82,                0.74003,                0.47479,                0.96488,                0.90716,                0.79989,                0.86026,                0.62872,                 1.0491,                0.56599,                 1.2062,              0.0059905,              0.0059905,              0.0059905
                     83,                0.73595,                0.46851,                0.96087,                0.91797,                0.79107,                0.86114,                0.63116,                 1.0479,                0.57293,                 1.2048,               0.005941,               0.005941,               0.005941
                     84,                0.73836,                0.47207,                0.96405,                0.91657,                0.79276,                0.86047,                0.62881,                  1.047,                0.57692,                 1.2062,              0.0058915,              0.0058915,              0.0058915
                     85,                0.73804,                0.47084,                 0.9629,                0.92664,                0.79179,                0.86444,                0.63062,                 1.0517,                0.57434,                 1.2091,               0.005842,               0.005842,               0.005842
                     86,                0.73049,                0.46921,                0.96111,                 0.9216,                0.79267,                0.86332,                0.63065,                 1.0493,                0.57179,                 1.2091,              0.0057925,              0.0057925,              0.0057925
                     87,                0.73072,                0.46903,                0.95985,                0.92844,                0.79615,                0.86645,                0.63332,                 1.0477,                0.56688,                 1.2095,               0.005743,               0.005743,               0.005743
                     88,                0.72793,                0.46585,                0.95912,                0.90926,                0.80922,                0.86644,                0.63164,                 1.0474,                0.56204,                 1.2121,              0.0056935,              0.0056935,              0.0056935
                     89,                0.72597,                0.46272,                0.95805,                0.92967,                0.79034,                 0.8667,                0.63295,                 1.0466,                0.56426,                 1.2113,               0.005644,               0.005644,               0.005644
                     90,                 0.7271,                0.46166,                0.95626,                0.92275,                0.80158,                0.86535,                0.63192,                  1.046,                0.56387,                 1.2123,              0.0055945,              0.0055945,              0.0055945
                     91,                0.72372,                0.46058,                0.95584,                0.92909,                0.79608,                0.86563,                0.63148,                 1.0447,                0.56302,                 1.2104,               0.005545,               0.005545,               0.005545
                     92,                0.72068,                0.45882,                0.95605,                0.93107,                0.79501,                0.86594,                0.63182,                 1.0445,                0.56559,                  1.211,              0.0054955,              0.0054955,              0.0054955
                     93,                0.71897,                0.46064,                0.95513,                0.92801,                0.79623,                 0.8651,                0.63137,                 1.0419,                 0.5643,                 1.2101,               0.005446,               0.005446,               0.005446
                     94,                0.71479,                  0.454,                0.95301,                0.93077,                0.79752,                 0.8646,                0.62928,                 1.0438,                0.56493,                 1.2115,              0.0053965,              0.0053965,              0.0053965
                     95,                0.71716,                0.45833,                0.95553,                0.92153,                  0.796,                0.86397,                0.63079,                 1.0418,                0.56788,                 1.2103,               0.005347,               0.005347,               0.005347
                     96,                0.71036,                0.45165,                 0.9496,                0.92672,                0.79626,                0.86433,                0.63088,                 1.0411,                0.56777,                 1.2095,              0.0052975,              0.0052975,              0.0052975
                     97,                   0.71,                0.45227,                0.95094,                0.92117,                0.80143,                0.86456,                0.63181,                 1.0407,                0.56781,                 1.2091,               0.005248,               0.005248,               0.005248
                     98,                  0.708,                0.44928,                 0.9504,                0.92261,                0.80034,                 0.8648,                0.63169,                 1.0409,                0.56744,                 1.2095,              0.0051985,              0.0051985,              0.0051985
                     99,                0.70395,                 0.4507,                0.94744,                 0.9174,                0.80318,                0.86491,                0.63208,                 1.0392,                0.56567,                 1.2083,               0.005149,               0.005149,               0.005149
                    100,                0.70826,                0.44978,                  0.949,                0.92076,                0.80172,                0.86585,                0.63094,                 1.0415,                0.56399,                 1.2099,              0.0050995,              0.0050995,              0.0050995
                    101,                0.70372,                0.44878,                0.94891,                0.92069,                0.80005,                0.86454,                0.63092,                 1.0416,                0.56395,                 1.2108,                0.00505,                0.00505,                0.00505
                    102,                0.70326,                 0.4451,                0.94659,                0.92068,                0.80196,                0.86453,                0.63077,                 1.0417,                0.56365,                 1.2112,              0.0050005,              0.0050005,              0.0050005
